id,start,end,today,head_of_household,lga_of_residence,Village,birth_year,Gender,Marital_Status,Household_size,Educational_Level,Living_Arrangement,roof_type,Religious_Affiliation,coop_society_member,Specify_cooperative_society,planting_time,farmland_cultivated_ha,measure_of_seed,bags_of_potato_seeds,baskets_of_potato_seed,cost_of_seeds,cost_of_farm_prep,fert_bags_required,fert_bags_purchased_preseason,total_fert_bags_purchased,total_cost_of_fert,pesticides,farmland_other_crops,farm_prep_cost_other_crops,mixed_cropping,years_of_experience,prior_participation,potato_variety,potato_variety_caruso,potato_variety_marabel,potato_variety_lady_cristyl,potato_variety_nicola,potato_variety_other,potato_variety_diamant,time_of_harvest,time_of_harvest_may,time_of_harvest_june,time_of_harvest_july,time_of_harvest_august,time_of_harvest_september,time_of_harvest_october,quantity_harvested_bags,need_a_store,find_storage_facility,who_owns_facility,self_owned_facility,potato_value_chain_facility,individuals_owned_facility,a_group_facility,government_owned_facility,facility_by_others,potato_storage_time,bags_of_potato_stored,cost_of_storage,post_harvest_losses,post_harvest_loss_bags,potato_sold_bags,potato_bag_price,hired_labourers,hired_labourers_num,labourers_wages,nature_of_labour,want_copy_of_report,email_provider,core_potato_lga,farm_prep_prop,fert_prop,time_taken,survey_day,survey_month,potato_farmsize_ha,potato_seeds_tons,farmsize_others_ha,potato_harvested_tons,qty_potato_stored_tons,post_harvest_loss_tons,potato_sold_tons,potato_price_kg,potato_price_ton
1999-M-8359,2023-08-27T10:39:03Z,2023-08-27T10:43:58Z,2023-08-27,no,Kanke,Khir,1999,Male,Single,1,secondary_education,inherited,zinc,christian,yes,Rotshang,april,1,bags,1,0,24500,16500,2,3,5,142000,"Dragon, weedcrusher, uproot",4,18000,no,1,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,7,no,na,na,0,0,0,0,0,0,0,0,0,yes,7,7,19500,yes,3,15000,manual,no,na,No,47.83,150,4.9090166648229,Sunday,August,0.045,0.05,0.18,0.35,0,0.35,0.35,0.14,140
1999-M-5100,2023-09-04T20:32:16Z,2023-09-04T20:37:02Z,2023-09-04,no,Kanke,Shakto,1999,Male,Single,1,secondary_education,inherited,zinc,christian,yes,Mukhikshak mcs,march,1,bags,1,0,25000,21000,2,4,6,171000,"Dragon, weedcrusher,",5,30000,no,1,no,marabel,0,1,0,0,0,0,may june,1,1,0,0,0,0,9,yes,no,na,0,0,0,0,0,0,0,0,0,yes,3,9,20000,yes,3,12000,manual,no,na,No,41.18,200,4.75228333473206,Monday,September,0.045,0.05,0.22,0.45,0,0.15,0.45,0.18,180
1999-F-4769,2023-08-21T05:55:50Z,2023-08-21T06:05:53Z,2023-08-21,no,Pankshin,Kakulyash,1999,Female,Single,0,tertiary_education,owned,zinc,christian,yes,Kakulyash Potato farmers,may,1,bags,4,0,60000,12500,2,5,4,60000,Chlorpyrofor carbamaters glory baking soda vegetables oil mild soap,1,60000,yes,2,yes,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,13,no,na,na,0,0,0,0,0,0,0,0,0,no,0,10,13500,no,0,0,manual,no,na,Yes,17.24,250,10.0629000027974,Monday,August,0.045,0.2,0.04,0.65,0,0,0.5,0.2,200
1999-F-3915,2023-08-22T14:44:50Z,2023-08-22T14:50:50Z,2023-08-22,no,Riyom,A/Wereng,1999,Female,Single,0,tertiary_education,rented,zinc,christian,yes,Wereng-Rim MCS,may,1,bags,5,0,100000,8000,5,3,5,150000,Fungicides,2,20000,no,12,yes,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,13,no,na,na,0,0,0,0,0,0,0,0,0,no,0,11,20000,yes,4,16000,manual,no,na,Yes,28.57,60,5.9941833337148,Tuesday,August,0.045,0.25,0.09,0.65,0,0,0.55,0.22,220
1999-F-6118,2023-08-24T18:42:27Z,2023-08-24T18:46:17Z,2023-08-24,no,Pankshin,Chip,1999,Female,Single,0,tertiary_education,inherited,zinc,christian,yes,Chip Fadama potato farmers,may,1,baskets,0,2,20000,10000,2,0,0,40000,Chlorpyrofor carbamaters,0,0,no,2,yes,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,6,no,na,na,0,0,0,0,0,0,0,0,0,no,0,5,13000,no,0,0,manual,no,na,Yes,100,0,3.83530000050863,Thursday,August,0.045,0.05,0,0.3,0,0,0.25,0.1,100
1998-F-6500,2023-08-22T15:19:05Z,2023-08-24T13:59:29Z,2023-08-22,yes,Wase,GYAMBAR LAMBA,1998,Female,Married,23,no_education,owned,zinc,muslim,yes,Gywai nyim association,april,1,bags,5,0,75000,150000,10,4,4,60000,Rambo miyagro,1,10000,yes,2,no,lady_cristyl,0,0,1,0,0,0,august,0,0,0,1,0,0,50,no,na,na,0,0,0,0,0,0,0,0,0,no,0,50,25000,yes,20,40000,manual,yes,gmail,No,93.75,40,2800.40786666473,Tuesday,August,0.045,0.25,0.04,2.5,0,0,2.5,1,1000
1998-M-5377,2023-08-27T08:57:06Z,2023-08-27T09:04:44Z,2023-08-27,yes,Kanam,Bankilong,1998,Male,Married,12,secondary_education,owned,zinc,muslim,yes,Namaran cattle rearers,may,1,bags,2,0,20000,45000,4,2,3,96000,Marshal,3,95000,no,2,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,9,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1.5,4,20000,yes,15,30000,manual,no,na,No,32.14,50,7.63793332974116,Sunday,August,0.045,0.1,0.14,0.45,0,0.07,0.2,0.08,80
1998-F-5042,2023-08-20T07:09:06Z,2023-08-20T07:13:37Z,2023-08-20,yes,Wase,Jigawan Audu kumbur,1998,Female,Married,10,secondary_education,inherited,zinc,muslim,no,na,april,50,bags,60,0,12000,180000,50,50,50,190000,Vinash,2,140000,no,1,no,marabel,0,1,0,0,0,0,october,0,0,0,0,0,1,12000,no,na,na,0,0,0,0,0,0,0,0,0,no,0,50,14000,no,0,0,manual,no,na,No,56.25,100,4.512466665109,Sunday,August,2.25,3,0.09,600,0,0,2.5,1,1000
1998-M-0510,2023-08-16T11:36:49Z,2023-08-16T11:49:22Z,2023-08-16,yes,Mangu,Dikibin,1998,Male,Married,9,secondary_education,owned,zinc,christian,no,na,may,100,bags,5,0,105000,50000,4,4,4,100000,Glory,200,40000,no,9,yes,lady_cristyl,0,0,1,0,0,0,august,0,0,0,1,0,0,35,no,na,na,0,0,0,0,0,0,0,0,0,no,0,30,45000,no,0,0,manual,no,na,Yes,55.56,100,12.5422500014305,Wednesday,August,4.5,0.25,9,1.75,0,0,1.5,0.6,600
1998-M-7923,2023-09-03T23:59:46Z,2023-09-04T00:14:38Z,2023-09-04,no,Jos North,Babale,1998,Male,Married,9,secondary_education,owned,zinc,muslim,no,na,may,11,baskets,0,6,66000,12000,200,150,200,70000,Sharp shooter,23,18000,yes,8,yes,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,45,yes,yes,individuals,0,0,1,0,0,0,14,40,2500,yes,2,40,17000,yes,5,18000,manual,no,na,Yes,40,75,14.8578166683515,Sunday,September,0.495,0.15,1.03,2.25,2,0.1,2,0.8,800
1998-F-0384,2023-08-16T10:32:10Z,2023-08-16T10:49:24Z,2023-08-16,no,Mangu,Kerang,1998,Female,Married,8,secondary_education,owned,zinc,christian,yes,Tongashak Mcs,may,100,bags,5,0,175000,50000,4,3,3,75000,Glory,100,50000,yes,11,yes,caruso,1,0,0,0,0,0,july august,0,0,1,1,0,0,25,no,na,na,0,0,0,0,0,0,0,0,0,no,0,23,40000,yes,5,30000,manual,no,na,Yes,50,75,17.2333500027657,Wednesday,August,4.5,0.25,4.5,1.25,0,0,1.15,0.46,460
1998-M-8063,2023-08-17T06:23:03Z,2023-08-17T10:51:58Z,2023-08-17,yes,Wase,Tenam mavo,1998,Male,Married,8,tertiary_education,owned,zinc,muslim,no,na,march,5,bags,40,0,12000,196000,100,10,10,24000,Champion,2,52000,no,5,no,marabel,0,1,0,0,0,0,october,0,0,0,0,0,1,150,yes,no,na,0,0,0,0,0,0,0,0,0,yes,5,85,15000,no,0,0,manual,no,na,No,79.03,10,268.912016665936,Thursday,August,0.225,2,0.09,7.5,0,0.25,4.25,1.7,1700
1998-M-4935,2023-08-28T13:39:29Z,2023-08-28T13:42:55Z,2023-08-28,no,Kanam,Pidum,1998,Male,Single,8,secondary_education,owned,thatched,muslim,yes,Kanam fadama,may,1,bags,1,0,10000,38000,4,1,0,25000,Karate,1,55000,no,2,yes,marabel,0,1,0,0,0,0,september,0,0,0,0,1,0,12,no,na,na,0,0,0,0,0,0,0,0,0,no,0,12,17000,yes,10,30000,manual,no,na,No,40.86,25,3.43521666526794,Monday,August,0.045,0.05,0.04,0.6,0,0,0.6,0.24,240
1998-M-3452,2023-09-02T21:51:17Z,2023-09-02T22:01:08Z,2023-09-02,no,Jos North,Jos,1998,Male,Single,8,tertiary_education,rented,zinc,muslim,no,na,march,4,bags,2,0,10000,50000,3,2,3,68000,Contact herbicide,1,20000,no,3,no,lady_cristyl,0,0,1,0,0,0,july,0,0,1,0,0,0,10,no,na,na,0,0,0,0,0,0,0,0,0,no,0,0,12000,yes,3,30000,manual,no,na,Yes,71.43,66.67,9.85766666730245,Saturday,September,0.18,0.1,0.04,0.5,0,0,0,0,0
1998-M-2872,2023-08-18T06:10:22Z,2023-08-18T06:46:40Z,2023-08-18,yes,Pankshin,Riyang Takkas,1998,Male,Married,7,secondary_education,owned,zinc,christian,yes,Riyang Takkas farmers group,may,2,bags,6,0,120000,25000,4,10,10,200000,"Chlorpyrofor ,carbamaters ,Organophosphates",2,21500,yes,6,no,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,29,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,27,14500,no,0,0,manual,no,na,Yes,53.76,250,36.2870333313942,Friday,August,0.09,0.3,0.09,1.45,0,0.1,1.35,0.54,540
1998-M-0540,2023-08-18T09:46:42Z,2023-08-18T09:51:36Z,2023-08-18,yes,Wase,Kuyambana ward,1998,Male,Married,7,no_education,owned,zinc,muslim,no,na,may,4,bags,10,0,40000,120000,2,1,1,20000,Best Catapilar,5,150000,no,1,no,marabel,0,1,0,0,0,0,september,0,0,0,0,1,0,30,no,na,na,0,0,0,0,0,0,0,0,0,no,0,25,220000,yes,4,20000,manual,no,na,No,44.44,50,4.89948333501816,Friday,August,0.18,0.5,0.22,1.5,0,0,1.25,0.5,500
1998-F-5955,2023-08-16T10:44:34Z,2023-08-16T11:03:28Z,2023-08-16,yes,Wase,Kumbur ward wase,1998,Female,Married,6,tertiary_education,inherited,zinc,muslim,yes,Watya,april,4,bags,11,0,35000,150000,60000,4,2,38000,Unitedforce and others,3,150000,no,6,no,marabel,0,1,0,0,0,0,september,0,0,0,0,1,0,90,yes,yes,individuals,0,0,1,0,0,0,60,25,31000,yes,3,85,590000,yes,9,109000,manual,yes,gmail,No,50,0.01,18.8982666651408,Wednesday,August,0.18,0.55,0.14,4.5,1.25,0.15,4.25,1.7,1700
1998-M-8808,2023-08-16T12:47:52Z,2023-08-16T13:10:57Z,2023-08-16,no,Bassa,Jengre. (Anguwar Garba),1998,Male,Single,6,secondary_education,inherited,zinc,muslim,yes,Salama Group,may,4,baskets,0,4,84000,32000,5,3,5,125000,"Contact, and Glory",9,40000,no,6,no,nicola,0,0,0,1,0,0,june,0,1,0,0,0,0,30,no,na,na,0,0,0,0,0,0,0,0,0,no,0,27,23000,yes,22,41000,manual,no,na,Yes,44.44,60,23.0874499996503,Wednesday,August,0.18,0.1,0.41,1.5,0,0,1.35,0.54,540
1998-M-7738,2023-08-16T16:25:57Z,2023-08-16T16:29:59Z,2023-08-16,yes,Wase,Kuyambana ward,1998,Male,Married,6,secondary_education,owned,zinc,muslim,no,na,may,4,bags,10,0,50,170000,2,1,1,30000,Best,6,250000,no,2,yes,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,20,no,na,na,0,0,0,0,0,0,0,0,0,no,0,18,150000,yes,3,10000,manual,no,na,No,40.48,50,4.03833333651225,Wednesday,August,0.18,0.5,0.27,1,0,0,0.9,0.36,360
1998-M-5152,2023-08-16T16:29:59Z,2023-08-16T16:33:30Z,2023-08-16,yes,Wase,Kumbur ward,1998,Male,Married,6,primary_education,owned,zinc,muslim,no,na,may,4,bags,10,0,30000,150000,2,1,1,25000,Best Catapilar,5,160000,no,2,no,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,20,no,na,na,0,0,0,0,0,0,0,0,0,no,0,18,160000,yes,5,10000,manual,no,na,No,48.39,50,3.50538333257039,Wednesday,August,0.18,0.5,0.22,1,0,0,0.9,0.36,360
1998-M-9576,2023-08-18T04:44:45Z,2023-08-18T04:48:40Z,2023-08-18,yes,Pankshin,Kakulyash Python Takkas,1998,Male,Married,6,primary_education,owned,zinc,christian,yes,Kakulyash Python Takkas,may,2,bags,8,0,160000,20000,4,10,10,200000,"Glory, mild soap vegetables oil baking soda",2,32000,yes,6,no,caruso marabel,1,1,0,0,0,0,august,0,0,0,1,0,0,26,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,23,14000,no,0,0,manual,no,na,Yes,38.46,250,3.90873333613078,Friday,August,0.09,0.4,0.09,1.3,0,0.1,1.15,0.46,460
1998-M-2017,2023-08-18T04:59:30Z,2023-08-18T05:02:59Z,2023-08-18,yes,Pankshin,Kakulyash,1998,Male,Married,6,secondary_education,owned,zinc,christian,yes,Kakulyash Python Takkas,may,2,bags,8,0,160000,20000,4,10,10,200000,Glory mild soap vegetables oil mild soap,2,26500,yes,5,no,caruso marabel,1,1,0,0,0,0,august,0,0,0,1,0,0,26,no,na,na,0,0,0,0,0,0,0,0,0,no,0,2,15000,no,0,0,manual,no,na,Yes,43.01,250,3.47944999933243,Friday,August,0.09,0.4,0.09,1.3,0,0,0.1,0.04,40
1998-M-8293,2023-08-18T09:27:00Z,2023-08-18T09:31:29Z,2023-08-18,yes,Wase,Kuyambana ward,1998,Male,Married,6,no_education,owned,zinc,muslim,no,na,june,3,bags,8,0,30000,150000,2,1,1,20000,Vest,4,160000,no,1,no,marabel,0,1,0,0,0,0,october,0,0,0,0,0,1,20,no,na,na,0,0,0,0,0,0,0,0,0,no,0,20,200000,yes,2,10000,manual,no,na,No,48.39,50,4.49043333133062,Friday,August,0.135,0.4,0.18,1,0,0,1,0.4,400
1998-M-6246,2023-08-18T15:40:13Z,2023-08-18T15:45:04Z,2023-08-18,yes,Pankshin,Duna Kirnytol,1998,Male,Married,6,tertiary_education,owned,zinc,christian,yes,Duna Kirnytol Potato farmers,may,2,bags,6,0,90000,20500,3,11,11,220000,Chlorpyrofor carbamaters and Organophosphates,2,35000,yes,6,yes,caruso marabel,1,1,0,0,0,0,august,0,0,0,1,0,0,26,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1,24,14000,no,0,0,manual,no,na,Yes,36.94,366.67,4.8470166683197,Friday,August,0.09,0.3,0.09,1.3,0,0.05,1.2,0.48,480
1998-M-5249,2023-08-20T06:16:04Z,2023-08-20T06:19:39Z,2023-08-20,yes,Pankshin,Bwarak,1998,Male,Married,6,secondary_education,owned,zinc,christian,yes,Bwarak potato farmers group,may,1,baskets,0,9,105000,16500,3,10,10,200000,Chlorpyrofor carbamaters glory baking soda vegetables oil mild soap,2,30000,yes,5,yes,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,18,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,15,14000,no,0,0,manual,no,na,Yes,35.48,333.33,3.58053333361944,Sunday,August,0.045,0.22,0.09,0.9,0,0.1,0.75,0.3,300
1998-F-7874,2023-08-27T08:42:31Z,2023-08-27T08:47:26Z,2023-08-27,no,Jos East,DURBI,1998,Female,Single,6,secondary_education,inherited,zinc,christian,yes,Akanang MCS,may,4,bags,5,0,86000,0,5,2,5,5,"glory, ddforce, ampligo",5,25000,yes,4,no,caruso marabel other,1,1,0,0,1,0,august,0,0,0,1,0,0,18,no,na,na,0,0,0,0,0,0,0,0,0,no,0,15,18600,no,0,0,manual,no,na,Yes,0,40,4.93251666625341,Sunday,August,0.18,0.25,0.22,0.9,0,0,0.75,0.3,300
1998-M-3432,2023-08-31T18:51:57Z,2023-08-31T19:19:18Z,2023-08-31,no,Jos South,Nyango Gura Gyel,1998,Male,Single,6,secondary_education,inherited,zinc,christian,yes,Kanchu farmers group,may,2,baskets,0,3,45000,10000,2,1,1,26500,"Cabro, glory",2,7000,yes,4,no,nicola,0,0,0,1,0,0,august,0,0,0,1,0,0,17,no,na,na,0,0,0,0,0,0,0,0,0,no,0,16,17000,yes,9,18000,manual,no,na,Yes,58.82,50,27.3425166686376,Thursday,August,0.09,0.07,0.09,0.85,0,0,0.8,0.32,320
1998-F-0984,2023-09-03T16:42:48Z,2023-09-03T16:55:34Z,2023-09-03,no,Jos North,Naraguta,1998,Female,Single,6,secondary_education,rented,zinc,muslim,no,na,may,8,bags,3,0,30000,22000,3,1,3,90000,"DD force, carbaryl",0,0,no,5,no,marabel lady_cristyl,0,1,1,0,0,0,august,0,0,0,1,0,0,32,no,na,na,0,0,0,0,0,0,0,0,0,yes,3,35,19000,yes,5,15000,manual,no,na,Yes,100,33.33,12.7677999973297,Sunday,September,0.36,0.15,0,1.6,0,0.15,1.75,0.7,700
1998-M-8848,2023-09-03T22:29:17Z,2023-09-03T22:38:52Z,2023-09-03,no,Jos North,Babale,1998,Male,Married,6,secondary_education,rented,zinc,muslim,yes,Kainuwa mpcs,may,10,baskets,0,5,65000,18000,200,150,150,54000,Sharp shooter glory,12,12000,no,4,yes,marabel,0,1,0,0,0,0,july august,0,0,1,1,0,0,30,yes,yes,self,1,0,0,0,0,0,30,30,2000,yes,3,26,16000,yes,2,6000,manual,no,na,Yes,60,75,9.57625000079473,Sunday,September,0.45,0.12,0.54,1.5,1.5,0.15,1.3,0.52,520
1998-M-9989,2023-08-15T17:05:44Z,2023-08-15T17:14:53Z,2023-08-15,yes,Wase,Mavo,1998,Male,Married,5,tertiary_education,rented,zinc,muslim,yes,Mavo youth council,june,3,bags,10,0,30000,150000,3,3,2,46000,Miazit best,10,250000,no,3,yes,marabel,0,1,0,0,0,0,september,0,0,0,0,1,0,20,yes,yes,self,1,0,0,0,0,0,3,20,50000,yes,3,20,100000,yes,3,15000,manual,yes,gmail,No,37.5,100,9.16189999977748,Tuesday,August,0.135,0.5,0.45,1,1,0.15,1,0.4,400
1998-M-3542,2023-08-16T06:59:48Z,2023-08-16T07:08:01Z,2023-08-16,yes,Wase,Kumbur ward,1998,Male,Married,5,secondary_education,owned,zinc,muslim,yes,Kumbur youth council,june,3,bags,10,0,30000,150000,3,1,2,40000,Total killer best,5,200000,no,4,yes,marabel,0,1,0,0,0,0,june,0,1,0,0,0,0,25,yes,yes,self,1,0,0,0,0,0,2,25,150000,yes,2,25,150000,yes,3,10000,manual,yes,gmail,No,42.86,33.33,8.21945000092188,Wednesday,August,0.135,0.5,0.22,1.25,1.25,0.1,1.25,0.5,500
1998-M-2240,2023-08-16T16:20:59Z,2023-08-16T16:25:57Z,2023-08-16,yes,Wase,Kuyambana,1998,Male,Married,5,tertiary_education,owned,zinc,muslim,no,na,may,3,bags,10,0,5000,50000,3,1,2,40000,Catapilar,5,250000,no,2,yes,marabel,0,1,0,0,0,0,august,0,0,0,1,0,0,20,no,na,na,0,0,0,0,0,0,0,0,0,no,0,18,150000,yes,5,15000,manual,no,na,No,16.67,33.33,4.95756666660309,Wednesday,August,0.135,0.5,0.22,1,0,0,0.9,0.36,360
1998-M-7640,2023-08-16T18:36:06Z,2023-08-16T19:11:36Z,2023-08-16,yes,Pankshin,Iribetsha Bumunw,1998,Male,Married,5,non_formal_education,owned,zinc,christian,yes,Iribetsha Bumunw,may,1,bags,4,0,80000,25500,3,9,9,180000,"Glory, mild soap vegetables oil, baking soda",2,26500,yes,4,no,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,26,yes,no,na,0,0,0,0,0,0,0,0,0,yes,3,20,14500,no,0,0,manual,no,na,Yes,49.04,300,35.5041833321253,Wednesday,August,0.045,0.2,0.09,1.3,0,0.15,1,0.4,400
1998-M-4719,2023-08-17T05:42:02Z,2023-08-17T05:47:14Z,2023-08-17,yes,Pankshin,Iribetsha Bumunw,1998,Male,Married,5,tertiary_education,owned,zinc,christian,yes,Iribetsha Bumunw,may,2,bags,8,0,120000,25000,3,12,12,240000,Glory mild soap vegetables oil baking soda liquid soap,2,25000,yes,6,no,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,30,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,27,14500,no,0,0,manual,no,na,Yes,50,400,5.19476666450501,Thursday,August,0.09,0.4,0.09,1.5,0,0.1,1.35,0.54,540
1998-M-4033,2023-08-17T14:06:35Z,2023-08-17T14:10:55Z,2023-08-17,yes,Wase,Kumbur ward,1998,Male,Single,5,tertiary_education,owned,zinc,muslim,yes,Kumbur youth Council,may,5,bags,10,0,30000,200000,3,1,1,28000,Best,6,250000,no,2,yes,marabel,0,1,0,0,0,0,september,0,0,0,0,1,0,25,no,na,na,0,0,0,0,0,0,0,0,0,yes,2,20,20,yes,5,20000,manual,no,na,No,44.44,33.33,4.33011666536331,Thursday,August,0.225,0.5,0.27,1.25,0,0.1,1,0.4,400
1998-M-6501,2023-08-17T21:34:49Z,2023-08-17T21:39:23Z,2023-08-17,yes,Pankshin,Longji Laraya,1998,Male,Married,5,no_education,owned,zinc,christian,yes,Longji Laraya,may,2,bags,3,0,60000,20000,3,10,10,200000,"Glory, mild soap vegetables oil baking soda",2,30000,no,6,no,caruso marabel,1,1,0,0,0,0,august,0,0,0,1,0,0,30,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,28,14500,no,0,0,manual,no,na,Yes,40,333.33,4.56014999945958,Thursday,August,0.09,0.15,0.09,1.5,0,0.1,1.4,0.56,560
1998-M-6873,2023-08-18T04:52:06Z,2023-08-18T04:55:43Z,2023-08-18,yes,Pankshin,Kakulyash Python Takkas,1998,Male,Married,5,primary_education,owned,zinc,christian,yes,Kakulyash Python Takkas,may,2,bags,8,0,160000,19500,4,10,10,200000,"Glory, mild soap vegetables oil mild soap",2,25300,yes,6,no,caruso other,1,0,0,0,1,0,august,0,0,0,1,0,0,28,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,25,14000,no,0,0,manual,no,na,Yes,43.53,250,3.62450000047684,Friday,August,0.09,0.4,0.09,1.4,0,0.1,1.25,0.5,500
1998-M-5699,2023-08-18T07:07:54Z,2023-08-18T07:16:43Z,2023-08-18,yes,Pankshin,Riyang Takkas,1998,Male,Married,5,secondary_education,owned,zinc,christian,yes,Riyang Takkas farmers,may,2,bags,8,0,160000,23500,4,11,11,220000,"Chloe, Carbamaters and organophosphates",2,19500,yes,5,yes,caruso marabel,1,1,0,0,0,0,august,0,0,0,1,0,0,26,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,24,14500,no,0,0,manual,no,na,Yes,54.65,275,8.82216666936874,Friday,August,0.09,0.4,0.09,1.3,0,0.1,1.2,0.48,480
1998-M-4288,2023-08-18T19:09:42Z,2023-08-18T19:14:35Z,2023-08-18,yes,Pankshin,Val.,1998,Male,Married,5,secondary_education,owned,zinc,christian,yes,Val potato farmers,may,2,baskets,0,9,120500,19500,3,10,10,100000,Chlorpyrofor carbamaters and Organophosphates,2,32000,yes,4,yes,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,29,yes,no,na,0,0,0,0,0,0,0,0,0,yes,2,26,14000,no,0,0,manual,no,na,Yes,37.86,333.33,4.88798333009084,Friday,August,0.09,0.22,0.09,1.45,0,0.1,1.3,0.52,520
1998-M-6292,2023-08-19T04:41:59Z,2023-08-19T04:46:42Z,2023-08-19,yes,Pankshin,Val,1998,Male,Married,5,tertiary_education,owned,zinc,christian,yes,Val,may,1,baskets,0,6,90000,15500,8,8,8,160000,Chlorpyrofor carbamaters and Organophosphates glory baking soda vegetables oil mild soap,1,10000,yes,5,yes,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,14,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1,12,15000,no,0,0,manual,no,na,Yes,60.78,100,4.70504999955495,Saturday,August,0.045,0.15,0.04,0.7,0,0.05,0.6,0.24,240
1998-M-3342,2023-08-19T19:39:48Z,2023-08-19T19:43:11Z,2023-08-19,yes,Pankshin,Bwarak,1998,Male,Married,5,secondary_education,owned,zinc,christian,yes,Bwarak potato farmers group,may,1,bags,8,0,160000,13500,3,12,12,240000,Chlorpyrofor carbamaters glory baking soda vegetables oil mild soap,2,26500,yes,6,yes,marabel other,0,1,0,0,1,0,august,0,0,0,1,0,0,29,yes,no,na,0,0,0,0,0,0,0,0,0,yes,3,19,13500,no,0,0,manual,no,na,Yes,33.75,400,3.3843000014623,Saturday,August,0.045,0.4,0.09,1.45,0,0.15,0.95,0.38,380
1998-F-3219,2023-08-21T22:30:21Z,2023-08-21T22:34:02Z,2023-08-21,no,Mangu,KOPAL,1998,Female,Single,5,primary_education,inherited,zinc,christian,no,na,may,100,bags,5,0,100000,50000,5,3,4,100000,Luna fungicides,100,50000,no,6,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,51,yes,yes,self,1,0,0,0,0,0,31,45,1500,no,0,38,20000,yes,5,50000,manual,no,na,Yes,50,60,3.68161666790644,Monday,August,4.5,0.25,4.5,2.55,2.25,0,1.9,0.76,760
1998-M-5,2023-08-23T11:47:36Z,2023-08-23T11:53:09Z,2023-08-23,no,Qua'an Pan,Lardang Kwa,1998,Male,Single,5,non_formal_education,rented,zinc,christian,yes,Lardang lumuat cooperative society,june,1,bags,1.5,0,31000,12500,1,0,1,27800,Sniper dominator,30,55000,yes,6,no,marabel nicola,0,1,0,1,0,0,august,0,0,0,1,0,0,4,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1,3,27000,yes,2,6000,manual,no,na,No,18.52,0,5.54889999628067,Wednesday,August,0.045,0.07,1.35,0.2,0,0.05,0.15,0.06,60
1998-M-5,2023-08-23T11:47:36Z,2023-08-23T11:53:09Z,2023-08-23,no,Qua'an Pan,Lardang Kwa,1998,Male,Single,5,non_formal_education,rented,zinc,christian,yes,Lardang lumuat cooperative society,june,1,bags,1.5,0,31000,12500,1,0,1,27800,Sniper dominator,30,55000,yes,6,no,marabel nicola,0,1,0,1,0,0,august,0,0,0,1,0,0,4,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1,3,27000,yes,2,6000,manual,no,na,No,18.52,0,5.54889999628067,Wednesday,August,0.045,0.07,1.35,0.2,0,0.05,0.15,0.06,60
1998-M-5,2023-08-23T11:47:36Z,2023-08-23T11:53:09Z,2023-08-23,no,Qua'an Pan,Lardang Kwa,1998,Male,Single,5,non_formal_education,rented,zinc,christian,yes,Lardang lumuat cooperative society,june,1,bags,1.5,0,31000,12500,1,0,1,27800,Sniper dominator,30,55000,yes,6,no,marabel nicola,0,1,0,1,0,0,august,0,0,0,1,0,0,4,yes,no,na,0,0,0,0,0,0,0,0,0,yes,1,3,27000,yes,2,6000,manual,no,na,No,18.52,0,5.54889999628067,Wednesday,August,0.045,0.07,1.35,0.2,0,0.05,0.15,0.06,60
1998-M-5979,2023-08-24T13:32:24Z,2023-08-24T14:10:13Z,2023-08-24,no,Jos South,Turu,1998,Male,Single,5,secondary_education,inherited,zinc,christian,yes,Vei nerat farmers,april,2,baskets,0,3,45000,9000,1,1,1,26500,Cabro,1,2000,yes,4,no,marabel,0,1,0,0,0,0,july,0,0,1,0,0,0,7,yes,no,na,0,0,0,0,0,0,0,0,0,no,0,6,16500,yes,3,4500,manual,no,na,Yes,81.82,100,37.8147499998411,Thursday,August,0.09,0.07,0.04,0.35,0,0,0.3,0.12,120
