id,today,survey_day,survey_month,lga_of_residence,village,time_taken,birth_year,gender,marital_status,household_size,educational_level,living_arrangement,roof_type,coop_society_member,planting_time,potato_farmsize_ha,farmsize_others_ha,potato_seeds_tons,cost_of_seeds,cost_of_farm_prep,total_fert_bags_purchased,total_cost_of_fert,mixed_cropping,years_of_experience,prior_participation,potato_variety,time_of_harvest,potato_harvested_tons,need_a_store,find_storage_facility,qty_potato_stored_tons,post_harvest_losses,post_harvest_loss_tons,potato_sold_tons,potato_price_kg,potato_price_ton,hired_labourers,hired_labourers_num,labourers_wages,nature_of_labour
1991-M-7360,2023-08-28,Monday,August,Jos East,KURUUM,3.81596666574478,1991,Male,Single,6,tertiary_education,inherited,zinc,yes,may,0.22,0.27,0.35,108000,28000,5,105000,yes,5,yes,caruso lady_cristyl other,august,1.15,no,na,0,no,0,1.1,376,376000,no,0,0,manual
1991-M-5958,2023-08-28,Monday,August,Jos South,Ratyi Du,36.4185000022252,1991,Male,Married,6,tertiary_education,owned,zinc,yes,may,0.09,0.09,0.1,60000,10000,2,53000,yes,6,no,marabel,july,0.65,no,na,0,no,0,0.6,340,340000,yes,4,8000,manual
1991-M-5988,2023-09-02,Saturday,September,Jos East,Duguza,5.24811666806539,1991,Male,Married,6,secondary_education,owned,zinc,yes,may,0.27,0.36,0.4,128000,34000,6,134000,yes,8,no,marabel other,august,1.2,no,na,0,no,0,1.15,380,380000,no,0,0,manual
1991-M-6958,2023-08-19,Saturday,August,Mangu,Kerang,6.24568333625793,1991,Male,Married,5,non_formal_education,inherited,zinc,yes,may,4.5,4.5,0.2,60000,50000,2,50000,no,12,no,caruso,august,1.5,no,na,0,no,0,1.4,400,400000,no,0,0,manual
1991-F-0999,2023-08-24,Thursday,August,Mangu,Panyam,3.45419999758403,1991,Female,Married,5,secondary_education,owned,zinc,no,april,4.5,4.5,0.45,36000,3500,6,145000,no,4,no,marabel,july,3.9,no,na,0,no,0,3.75,760,760000,no,0,0,manual
1991-F-7501,2023-08-28,Monday,August,Bassa,Gabia,11.7813166658084,1991,Female,Married,5,primary_education,owned,zinc,yes,april,0.09,0.27,0.07,45000,19000,2,50000,yes,7,no,marabel,june,0.9,no,na,0,yes,0.1,0.8,440,440000,yes,11,26000,manual
1991-F-8856,2023-08-30,Wednesday,August,Jos South,Kuru,288.964199999968,1991,Female,Married,5,tertiary_education,inherited,zinc,no,may,0.09,0.14,0.1,60000,12000,2,54500,yes,6,yes,nicola,august,0.5,no,na,0,no,0,0.45,330,330000,yes,3,6000,manual
1991-F-6872,2023-09-02,Saturday,September,Jos South,Dakyen Kuru,984.515616667271,1991,Female,Married,5,secondary_education,rented,zinc,yes,may,0.09,0.04,0.1,60000,13000,2,53000,yes,5,no,marabel,july,0.9,no,na,0,no,0,0.8,340,340000,yes,12,24000,manual
1991-M-3277,2023-08-16,Wednesday,August,Bassa,Miango,18.420816663901,1991,Male,Single,4,no_education,inherited,zinc,yes,april,0.18,0.45,0.12,80000,40000,5,130000,no,6,yes,marabel,june,1.45,no,na,0,yes,0.15,1.25,440,440000,yes,23,170000,manual
1991-F-1681,2023-08-22,Tuesday,August,Mangu,SOHON KERANG,4.57108333110809,1991,Female,Single,4,primary_education,inherited,zinc,no,may,5.62,2.25,0.35,125000,70000,6,150000,no,3,no,marabel,july,4.25,yes,yes,4,no,0,3.25,400,400000,yes,5,50000,manual
1991-M-6046,2023-08-24,Thursday,August,Bassa,Miango,10.5947833339373,1991,Male,Single,4,secondary_education,owned,zinc,yes,may,0.09,0.27,0.1,30000,18000,2,40000,no,5,no,nicola,june,0.95,no,na,0,yes,0.05,0.9,420,420000,yes,11,25000,manual
1991-M-2362,2023-08-24,Thursday,August,Bassa,Miango,23.567700000604,1991,Male,Married,4,primary_education,owned,zinc,yes,may,0.14,0.27,0.2,100000,34000,3,100000,yes,7,no,marabel,july,1.35,no,na,0,yes,0.1,1.25,440,440000,yes,18,43000,manual
1991-F-4730,2023-08-24,Thursday,August,Mangu,Tong'ashak,3.16596666574478,1991,Female,Married,4,tertiary_education,owned,zinc,no,april,4.5,4.5,0.45,36000,3500,7,185000,no,5,no,marabel,july,3.85,no,na,0,no,0,3.7,760,760000,yes,2,6000,manual
1991-F-1360,2023-08-29,Tuesday,August,Bassa,Gabia,7.50631666580836,1991,Female,Married,4,primary_education,owned,zinc,yes,may,0.09,0.27,0.07,48000,19000,2,46000,yes,5,no,marabel,july,0.9,no,na,0,yes,0.05,0.85,460,460000,yes,11,25000,manual
1991-M-8498,2023-08-30,Wednesday,August,Jos South,Kuru,22.2347833355268,1991,Male,Married,4,tertiary_education,inherited,zinc,yes,may,0.09,0.14,0.1,60000,13000,2,53000,yes,10,yes,marabel,july,0.6,no,na,0,no,0,0.55,350,350000,no,0,0,manual
1991-M-3005,2023-08-31,Wednesday,August,Jos South,Chuni Vwang,989.242650000254,1991,Male,Married,3,secondary_education,inherited,zinc,yes,april,0.18,0.09,0.15,90000,14000,3,80000,yes,12,no,marabel,july,0.95,no,na,0,no,0,0.9,360,360000,yes,6,12000,manual
1990-M-8503,2023-08-18,Friday,August,Jos East,Fadan Dabo,427.847133330504,1990,Male,Married,9,tertiary_education,inherited,zinc,yes,may,0.27,0.36,0.4,120000,0,8,168000,yes,6,yes,caruso marabel,august,1,no,na,0,no,0,0.95,370,370000,no,0,0,manual
1990-M-5793,2023-08-19,Saturday,August,Mangu,Kumbun,6.91571666797002,1990,Male,Married,9,secondary_education,owned,zinc,no,may,4.5,4.5,0.2,80000,40000,3,75000,yes,9,no,marabel,august,2,no,na,0,no,0,1.75,380,380000,no,0,0,manual
1990-M-7847,2023-08-24,Thursday,August,Jos East,Rifet fursum,6.44261666536331,1990,Male,Married,9,secondary_education,owned,zinc,no,may,0.36,0.41,0.5,156000,52000,8,168000,yes,8,no,marabel other,august,1.3,no,na,0,no,0,1.2,380,380000,no,0,0,manual
1990-M-4355,2023-08-19,Saturday,August,Mangu,Kerang,7.37985000212987,1990,Male,Married,8,non_formal_education,inherited,zinc,yes,may,4.5,4.5,0.25,75000,40000,4,100000,no,8,no,other,august,1.5,no,na,0,no,0,1.25,400,400000,no,0,0,manual
1990-M-1706,2023-08-22,Tuesday,August,Jos East,Gugunrichi-kudedu,9.83561666409175,1990,Male,Married,8,secondary_education,owned,zinc,yes,may,0.22,0.27,0.3,92000,28000,6,126000,yes,8,yes,caruso marabel other,august,0.85,yes,yes,0.75,no,0,0.75,384,384000,yes,5,35000,manual
1990-M-4627,2023-08-23,Wednesday,August,Jos East,Ritek,8.7319000005722,1990,Male,Married,8,secondary_education,owned,zinc,yes,may,0.32,0.27,0.45,165000,35000,7,148000,yes,9,yes,caruso other,august,1.15,no,na,0,no,0,1.1,376,376000,yes,4,26000,manual
1990-M-4932,2023-08-17,Thursday,August,Jos East,Angware,8.83783333301544,1990,Male,Married,7,tertiary_education,owned,zinc,yes,april,0.27,0.36,0.35,115000,38000,10,225000,yes,6,yes,caruso other,august,0.9,no,na,0,no,0,0.85,380,380000,no,0,0,manual
1990-M-7052,2023-08-29,Tuesday,August,Jos East,Laminga,3.36339999834696,1990,Male,Married,7,secondary_education,owned,zinc,yes,may,0.32,0.36,0.4,128000,20000,7,142000,yes,8,yes,caruso marabel other,august,1,no,na,0,no,0,0.9,372,372000,no,0,0,manual
1990-M-7146,2023-08-31,Thursday,August,Jos East,Kutek,4.21463333368301,1990,Male,Married,7,secondary_education,owned,zinc,yes,may,0.22,0.27,0.35,92000,25000,5,108000,yes,5,yes,caruso marabel other,august,0.9,no,na,0,no,0,0.85,374,374000,no,0,0,manual
1990-M-0214,2023-09-01,Friday,September,Jos East,Ritek,4.66565000216166,1990,Male,Married,7,secondary_education,owned,zinc,yes,may,0.27,0.36,0.4,122000,32000,6,126000,yes,8,no,caruso lady_cristyl other,august,1.15,no,na,0,no,0,1.1,374,374000,no,0,0,manual
1990-F-0878,2023-08-19,Saturday,August,Jos South,Zawan,2758.38671666781,1990,Female,Married,6,tertiary_education,inherited,zinc,yes,april,0.09,0.09,0.1,60000,12000,2,78000,yes,9,yes,marabel,july august,0.7,no,na,0,yes,0.05,0.55,340,340000,yes,20,40000,manual
1990-M-3420,2023-08-22,Tuesday,August,Jos East,Gugunrichi-kudedu,4.80674999952316,1990,Male,Married,6,non_formal_education,owned,zinc,yes,may,0.27,0.32,0.35,112000,30000,6,126000,yes,6,yes,caruso marabel other,august,0.95,yes,yes,0.75,no,0,0.15,372,372000,no,0,0,manual
1990-M-9770,2023-08-22,Tuesday,August,Jos South,Vwang,544.073149998983,1990,Male,Married,6,secondary_education,owned,zinc,yes,april,0.18,0.09,0.2,120000,13000,4,100000,yes,18,yes,marabel,august,0.7,no,na,0,no,0,0.6,360,360000,yes,6,12000,manual
1990-M-1321,2023-08-22,Tuesday,August,Jos East,Igunrichi-Febas,4.74018333355586,1990,Male,Married,6,secondary_education,owned,zinc,yes,may,0.22,0.27,0.3,126000,0,6,126000,yes,7,no,caruso marabel,august,1.15,no,na,0,no,0,1.1,350,350000,no,0,0,manual
1990-F-8945,2023-08-25,Friday,August,Jos South,Turu,8.40671666463216,1990,Female,Married,6,secondary_education,owned,zinc,yes,may,0.14,0.14,0.1,60000,9000,2,53000,yes,6,no,marabel,july,0.5,no,na,0,no,0,0.45,360,360000,yes,4,6000,manual
1990-F-2967,2023-08-28,Monday,August,Jos South,Vwang,374.855733331045,1990,Female,Married,6,tertiary_education,rented,zinc,yes,may,0.09,0.04,0.1,60000,13000,2,53000,yes,6,no,nicola,july,0.5,no,na,0,no,0,0.45,330,330000,yes,4,8000,manual
1990-F-6785,2023-08-29,Tuesday,August,Jos South,Kuru,21.687650001049,1990,Female,Single,6,tertiary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,12000,2,52000,yes,9,no,marabel,july,0.75,no,na,0,no,0,0.65,370,370000,yes,7,14000,manual
1990-M-6024,2023-08-29,Tuesday,August,Jos South,Kuru,31.8210833350817,1990,Male,Married,6,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,13000,2,53000,yes,10,yes,marabel,august,0.8,no,na,0,no,0,0.75,360,360000,yes,8,16000,manual
1990-M-7070,2023-08-29,Tuesday,August,Jos South,Kuru,737.450216666857,1990,Male,Married,6,tertiary_education,rented,zinc,yes,may,0.09,0.14,0.1,60000,13000,2,53000,yes,12,yes,marabel,july,0.95,no,na,0,no,0,0.9,340,340000,yes,9,18000,manual
1990-F-1595,2023-08-30,Wednesday,August,Jos South,Kuru,68.7685333331426,1990,Female,Married,6,tertiary_education,inherited,zinc,yes,may,0.09,0.04,0.1,60000,13000,2,53000,yes,6,yes,other,august,0.65,no,na,0,no,0,0.6,380,380000,yes,4,8000,manual
1990-F-6717,2023-08-31,Thursday,August,Jos South,Turu Vwang,92.5095999995867,1990,Female,Married,6,secondary_education,owned,zinc,yes,may,0.09,0.09,0.07,45000,13000,2,53000,yes,6,no,nicola,july,0.75,no,na,0,no,0,0.7,360,360000,yes,13,26000,manual
1990-M-4989,2023-08-31,Thursday,August,Jos North,Babale,19.1234499971072,1990,Male,Married,6,secondary_education,owned,zinc,yes,may,0.54,0.9,0.12,50000,10000,200,68000,no,6,no,nicola,july,1.75,yes,no,0,yes,0.15,1.25,340,340000,yes,6,8500,manual
1990-F-1181,2023-09-01,Friday,September,Jos East,Rizek,1057.99640000264,1990,Female,Married,6,secondary_education,owned,zinc,yes,may,0.22,0.36,0.35,132000,32000,5,126000,yes,10,no,caruso marabel other,august,0.8,no,na,0,no,0,0.75,372,372000,no,0,0,manual
1990-F-4779,2023-09-04,Monday,September,Jos North,Dong,6.10781666835149,1990,Female,Single,6,tertiary_education,inherited,zinc,yes,april,0.9,0,0.45,102000,80000,9,269000,yes,4,no,marabel,july,4,yes,yes,3.75,yes,0.2,3.5,400,400000,yes,15,96000,mechanized
1990-F-5952,2023-08-17,Thursday,August,Mangu,Dunglar,4.39868333339691,1990,Female,Married,5,secondary_education,owned,zinc,no,april,6.75,6.75,0.45,35000,3000,6,150000,no,6,no,lady_cristyl,july,3.8,no,na,0,no,0,3.7,740,740000,yes,2,6000,manual
1990-M-3790,2023-08-21,Monday,August,Mangu,TIMJAHAS,4.51718333562215,1990,Male,Single,5,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,60000,4,100000,no,8,no,marabel,august,2.6,yes,yes,2,no,0,1.5,460,460000,yes,5,50000,manual
1990-F-0183,2023-08-21,Monday,August,Jos South,Vwang,4.64603333075841,1990,Female,Single,5,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,12000,2,50000,yes,9,yes,marabel,august,0.55,no,na,0,no,0,0.5,350,350000,yes,6,12000,manual
1990-M-1635,2023-08-21,Monday,August,Jos South,Vwang,58.4799000024796,1990,Male,Single,5,tertiary_education,inherited,zinc,yes,may,0.18,0.18,0.25,150000,15000,4,100000,yes,9,yes,marabel,august,0.7,no,na,0,no,0,0.65,370,370000,yes,8,14000,manual
1990-M-9780,2023-08-22,Tuesday,August,Mangu,DEPURI,3.71949999729792,1990,Male,Married,5,primary_education,inherited,zinc,no,may,9,4.5,0.5,200000,100000,8,200000,no,5,yes,caruso,july,6,yes,yes,5,no,0,4.5,400,400000,yes,10,100000,manual
1990-F-7897,2023-08-24,Thursday,August,Jos South,Zawan,51.7269333322843,1990,Female,Married,5,tertiary_education,inherited,zinc,yes,april,0.09,0.04,0.1,60000,10000,2,53000,yes,4,no,marabel,july,0.6,no,na,0,no,0,0.55,370,370000,yes,4,8000,manual
1990-F-2848,2023-08-24,Thursday,August,Jos South,Turu,30.8276333332062,1990,Female,Married,5,secondary_education,inherited,zinc,yes,may,0.09,0,0.1,60000,10000,2,53000,yes,10,no,nicola diamant,august,0.65,no,na,0,no,0,0.55,340,340000,yes,2,4000,manual
1990-M-6323,2023-08-24,Thursday,August,Bassa,Miango,7.74750000238419,1990,Male,Married,5,non_formal_education,owned,zinc,yes,april,0.18,0.41,0.25,80000,44000,5,125000,yes,9,no,nicola,june,1.8,no,na,0,yes,0.1,1.7,440,440000,yes,24,53000,manual
1990-F-0342,2023-08-27,Sunday,August,Jos South,Janda Du,307.359549999237,1990,Female,Single,5,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.07,45000,8000,2,53000,yes,6,no,nicola,july,0.6,no,na,0,no,0,0.5,310,310000,yes,6,7000,manual
1990-F-7144,2023-08-28,Monday,August,Jos South,Vwang,377.837316668034,1990,Female,Married,5,tertiary_education,rented,zinc,yes,may,0.09,0,0.1,60000,13000,2,53000,yes,5,no,marabel,july,0.6,no,na,0,no,0,0.55,370,370000,yes,6,12000,manual
1990-F-9478,2023-08-28,Monday,August,Jos South,Du,80.276200000445,1990,Female,Married,5,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.07,45000,8000,2,53000,yes,7,no,marabel,july,0.45,no,na,0,no,0,0.4,360,360000,yes,2,4000,manual
1990-F-1278,2023-08-30,Wednesday,August,Jos South,Kuru,23.552016667525,1990,Female,Married,5,tertiary_education,owned,zinc,yes,may,0.09,0.04,0.1,60000,12000,2,53000,yes,16,yes,marabel,july,0.8,no,na,0,no,0,0.75,360,360000,yes,7,14000,manual
1990-M-1492,2023-08-31,Thursday,August,Jos South,Rahwol kanang,4.21998333136241,1990,Male,Single,5,tertiary_education,rented,zinc,yes,may,0.09,0.04,0.07,45000,8000,2,53000,yes,5,no,marabel,july,0.45,no,na,0,no,0,0.35,350,350000,no,0,0,manual
1990-M-1578,2023-09-01,Friday,September,Jos South,Kwang Du,1041.4279333353,1990,Male,Single,5,secondary_education,inherited,zinc,yes,may,0.14,0.09,0.12,75000,15000,2,53000,yes,5,no,marabel,july,1.05,no,na,0,no,0,1,350,350000,yes,20,40000,manual
1990-F-2399,2023-09-01,Friday,September,Jos South,Kwang Du,1036.82654999892,1990,Female,Married,5,tertiary_education,inherited,zinc,yes,april,0.09,0.09,0.1,60000,13000,2,53000,yes,13,no,nicola,august,0.75,no,na,0,no,0,0.7,340,340000,yes,18,36000,manual
1990-F-2831,2023-09-02,Saturday,September,Jos South,Dakyen Kuru,999.8414833347,1990,Female,Married,5,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,12000,4,53000,yes,8,no,nicola,august,0.9,no,na,0,no,0,0.8,340,340000,yes,18,36000,manual
1990-F-3020,2023-09-02,Saturday,September,Jos South,Dakyen Kuru,987.731950000922,1990,Female,Married,5,tertiary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,13000,2,53000,yes,6,no,nicola,august,0.85,yes,no,0,no,0,0.8,340,340000,yes,16,32000,manual
1990-F-9535,2023-09-03,Sunday,September,Jos South,Farinlamba Turu,492.664033333461,1990,Female,Married,5,tertiary_education,owned,zinc,yes,may,0.14,0.04,0.15,90000,15000,3,80000,yes,10,no,other,august,1.2,yes,yes,0.75,yes,0.03,1.1,370,370000,yes,23,46000,manual
1990-M-5430,2023-09-03,Sunday,September,Jos North,Babale,184.758999999364,1990,Male,Single,5,tertiary_education,rented,zinc,no,april,0.5,0,0.25,50,25000,5,150000,no,8,no,marabel,july,1.95,no,na,0,yes,0.05,1.85,360,360000,yes,6,30000,manual
1990-F-8030,2023-09-03,Sunday,September,Jos North,Hollaza,9.80168333450953,1990,Female,Married,5,tertiary_education,rented,zinc,no,april,0.5,0.5,0.3,13,35000,5,150000,no,8,no,other,july,1.95,no,na,0,yes,0.2,1.75,440,440000,yes,7,32000,manual
1990-F-9732,2023-09-03,Sunday,September,Jos South,Chugwi Vwang,42.3553333361944,1990,Female,Married,5,secondary_education,owned,zinc,yes,may,0.09,0.14,0.1,60000,14000,2,53000,yes,12,no,other,august,1.05,no,na,0,no,0,1,380,380000,yes,22,44000,manual
1990-F-0169,2023-08-17,Thursday,August,Mangu,Dungaar,3.95203333298365,1990,Female,Married,4,secondary_education,owned,zinc,no,april,2.25,2.25,0.3,36000,3000,4,86000,no,4,no,nicola,august,2.5,no,na,0,no,0,2.3,780,780000,no,0,0,manual
1990-F-5837,2023-08-18,Friday,August,Bassa,Mista-Ali,16.2769333322843,1990,Female,Married,4,secondary_education,owned,zinc,yes,april,0.14,0.27,0.2,24000,34000,4,100000,no,6,yes,nicola,june,1.2,no,na,0,yes,0.1,0.95,460,460000,yes,13,44000,manual
1990-M-5307,2023-08-21,Monday,August,Mangu,KERANG,19.8017166654269,1990,Male,Single,4,primary_education,inherited,zinc,no,may,6.75,4.5,0.35,150000,75000,6,150000,no,4,no,marabel,july,3.5,yes,yes,3,no,0,2.5,400,400000,yes,5,50000,manual
1990-F-0546,2023-08-22,Tuesday,August,Jos South,Rayfield,254.806800003846,1990,Female,Married,4,tertiary_education,rented,zinc,yes,may,0.09,0,0.1,60000,13000,2,50000,yes,8,no,diamant,august,0.6,no,na,0,no,0,0.55,350,350000,yes,4,8000,manual
1990-F-8123,2023-08-22,Tuesday,August,Mangu,KWAHAS,3.43799999952316,1990,Female,Single,4,primary_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,4,no,marabel,july,3,yes,yes,2.85,no,0,2.5,400,400000,yes,5,50000,manual
1990-M-7077,2023-08-23,Wednesday,August,Bassa,Miango,12.6353333353996,1990,Male,Single,4,secondary_education,owned,zinc,yes,april,0.18,0.36,0.2,64000,40000,4,100000,no,5,no,nicola,july,1.9,no,na,0,yes,0.2,1.7,440,440000,yes,23,50000,manual
1990-M-3006,2023-08-22,Tuesday,August,Mangu,PYEM AMPANG WEST,511.096333332856,1990,Male,Married,4,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,4,no,marabel,july,2.65,yes,yes,2.5,no,0,2,400,400000,yes,5,50000,manual
1990-M-3719,2023-08-24,Thursday,August,Bassa,Miango,9.22811666727066,1990,Male,Married,4,primary_education,inherited,zinc,yes,may,0.14,0.36,0.2,45000,33000,3,75000,no,9,no,nicola,july,1.4,no,na,0,yes,0.15,1.25,460,460000,yes,20,43000,manual
1990-M-3099,2023-08-25,Friday,August,Mangu,Sabon gida,2.98549999793371,1990,Male,Married,4,secondary_education,owned,zinc,no,april,4.5,4.5,0.45,36000,4000,7,140000,no,5,yes,lady_cristyl,august,3.95,no,na,0,no,0,3.85,780,780000,yes,2,6000,manual
1990-F-5512,2023-08-25,Friday,August,Jos South,Dasha Vwang,72.3995333313942,1990,Female,Married,4,secondary_education,inherited,zinc,yes,may,0.14,0.09,0.12,75000,10000,3,79000,yes,10,no,marabel,july,0.65,no,na,0,no,0,0.6,360,360000,yes,4,6000,manual
1990-F-2887,2023-08-27,Sunday,August,Jos South,Rabin Du,263.777600002289,1990,Female,Married,4,tertiary_education,inherited,zinc,yes,may,0.14,0.09,0.12,75000,14000,2,53000,yes,6,no,nicola,july,0.85,no,na,0,no,0,0.75,340,340000,yes,7,14000,manual
1990-M-6785,2023-08-30,Wednesday,August,Jos South,Kuru,52.2611999988556,1990,Male,Married,4,secondary_education,inherited,zinc,yes,may,0.09,0.14,0.07,45000,8000,2,53000,yes,8,yes,marabel,august,0.45,yes,yes,0.25,yes,0.03,0.4,370,370000,yes,2,3000,manual
1990-M-0462,2023-08-30,Wednesday,August,Jos South,Kuru,55.6592333316803,1990,Male,Single,4,tertiary_education,inherited,zinc,yes,may,0.14,0.09,0.12,75000,13000,3,80000,yes,9,yes,marabel,july,0.9,no,na,0,no,0,0.75,330,330000,yes,5,10000,manual
1990-F-9432,2023-09-01,Friday,September,Jos South,Nyango Gyel,1025.88605000178,1990,Female,Married,4,secondary_education,inherited,zinc,yes,may,0.09,0.04,0.12,75000,13000,2,53000,yes,13,no,nicola,august,1,no,na,0,no,0,0.95,340,340000,yes,12,24000,manual
1990-F-0942,2023-09-01,Friday,September,Jos South,Nyango Gyel,819.370700001717,1990,Female,Married,4,tertiary_education,inherited,zinc,yes,may,0.14,0.04,0.15,90000,12000,3,78000,yes,10,no,marabel,july,0.9,no,na,0,no,0,0.8,350,350000,yes,8,16000,manual
1990-F-8712,2023-09-01,Friday,September,Jos South,Nyango Gyel,811.638049999873,1990,Female,divorced,4,tertiary_education,inherited,zinc,yes,may,0.09,0.04,0.07,45000,10000,2,53000,yes,12,no,other,august,0.65,no,na,0,yes,0.03,0.6,380,380000,yes,9,18000,manual
1990-F-1302,2023-09-02,Saturday,September,Jos South,Hwak Kuru,1039.15496666829,1990,Female,Married,4,tertiary_education,inherited,zinc,yes,may,0.14,0.09,0.15,90000,18000,3,80000,yes,8,no,marabel,july,1.15,no,na,0,no,0,1.1,360,360000,yes,24,48000,manual
1990-F-0969,2023-09-03,Sunday,September,Jos South,Farinlamba Turu,500.110016667843,1990,Female,Married,4,secondary_education,rented,zinc,yes,may,0.09,0.09,0.07,45000,10,1,26500,yes,8,no,marabel,july,0.8,no,na,0,no,0,0.75,350,350000,yes,10,20000,manual
1990-F-0196,2023-09-03,Sunday,September,Jos South,Hwak Kuru,466.442083334923,1990,Female,Married,4,secondary_education,owned,zinc,yes,may,0.09,0.09,0.1,60000,13000,2,53000,yes,10,no,nicola,july,0.85,no,na,0,no,0,0.8,340,340000,yes,14,28000,manual
1990-F-7723,2023-09-03,Sunday,September,Jos South,Chugwi Vwang,14.4325333317121,1990,Female,Married,4,secondary_education,owned,zinc,yes,may,0.09,0.14,0.1,60000,14000,2,53000,yes,5,no,other,august,1.15,no,na,0,no,0,1.1,370,370000,yes,18,36000,manual
1990-F-6939,2023-08-16,Wednesday,August,Mangu,Baudan Lemu,4.29634999831518,1990,Female,Married,3,secondary_education,owned,zinc,no,april,2.25,2.25,0.1,35000,1500,1,25000,no,2,no,caruso,july,0.85,no,na,0,no,0,0.8,700,700000,no,0,0,manual
1990-F-4815,2023-08-18,Friday,August,Jos South,Zawan,4.26318333546321,1990,Female,Married,3,tertiary_education,inherited,zinc,yes,april,0.14,0.09,0.12,75000,12000,2,50000,yes,7,yes,marabel,july,0.55,no,na,0,yes,0.05,0.45,360,360000,yes,10,20000,manual
1990-F-9536,2023-08-20,Sunday,August,Jos South,Gyel,6.27701666752497,1990,Female,Married,3,secondary_education,inherited,zinc,yes,april,0.09,0.09,0.1,55000,12000,2,50000,yes,5,yes,marabel,august,0.65,yes,no,0,yes,0.05,0.5,380,380000,yes,12,24000,manual
1990-M-6767,2023-08-21,Monday,August,Mangu,TIMJAHAS,4.28353333075841,1990,Male,Married,3,non_formal_education,inherited,zinc,no,may,4.5,4.5,0.25,100000,50000,4,100000,yes,6,yes,caruso,august,2.7,yes,yes,2.25,no,0,1.75,400,400000,yes,5,50000,manual
1990-F-2348,2023-08-21,Monday,August,Mangu,KOPAL,4.5066833337148,1990,Female,Married,3,non_formal_education,inherited,zinc,no,may,9,4.5,0.5,200000,100000,8,200000,no,7,yes,marabel,august,5.6,yes,yes,5,no,0,4.25,400,400000,yes,10,100000,manual
1990-F-6512,2023-08-24,Thursday,August,Mangu,Panyam,2.88605000178019,1990,Female,Married,3,tertiary_education,owned,zinc,no,april,4.5,4.5,0.4,37000,3500,6,178000,no,5,no,nicola,august,3.4,no,na,0,no,0,3.15,760,760000,no,0,0,manual
1990-F-6919,2023-08-24,Thursday,August,Mangu,Tong'ashak,3.35963333447774,1990,Female,Single,3,secondary_education,owned,zinc,no,april,6.75,6.75,0.55,35000,4500,8,175000,no,6,no,other,august,4.35,no,na,0,no,0,4.1,760,760000,no,0,0,manual
1990-F-1806,2023-08-25,Friday,August,Mangu,Sabon gida,3.03324999809265,1990,Female,Married,3,secondary_education,owned,zinc,no,april,9,9,0.65,35000,5000,8,185000,no,7,no,marabel,july,4.45,no,na,0,no,0,4.35,780,780000,no,0,0,manual
1990-F-5218,2023-08-25,Friday,August,Jos South,Chuni Vwang,37.3938166658084,1990,Female,Married,3,secondary_education,rented,zinc,yes,may,0.09,0.18,0.12,75000,10000,3,78000,yes,8,no,marabel,july,0.7,no,na,0,no,0,0.65,350,350000,yes,5,7500,manual
1990-F-3987,2023-08-26,Saturday,August,Jos South,Turu,1104.78171666861,1990,Female,Married,3,tertiary_education,inherited,zinc,yes,may,0.09,0.18,0.07,45000,6000,2,53000,yes,7,no,nicola,july,0.5,no,na,0,no,0,0.4,310,310000,yes,3,4500,manual
1990-F-6114,2023-08-29,Tuesday,August,Jos South,Kuru,41.9768666664759,1990,Female,Married,3,tertiary_education,inherited,zinc,yes,may,0.09,0.09,0.07,45000,2,2,53000,yes,10,yes,nicola,july,0.95,no,na,0,no,0,0.9,330,330000,yes,3,6000,manual
1990-M-4948,2023-08-31,Wednesday,August,Jos South,Chuni Vwang,863.768566668034,1990,Male,Married,3,secondary_education,inherited,zinc,yes,may,0.14,0.09,0.12,75000,13000,2,53000,yes,5,no,nicola,august,0.65,no,na,0,no,0,0.6,350,350000,yes,3,6000,manual
1990-M-0029,2023-09-01,Friday,September,Jos South,Kuru,77.1139666676521,1990,Male,Married,3,tertiary_education,inherited,zinc,yes,may,0.14,0.09,0.12,75000,15000,3,80000,yes,10,no,other,august,1.15,no,na,0,no,0,1,380,380000,yes,16,32000,manual
1990-F-8327,2023-09-03,Sunday,September,Jos South,Farinlamba Turu,497.110650002956,1990,Female,Married,3,secondary_education,inherited,zinc,yes,may,0.09,0.09,0.1,60000,13000,2,53000,yes,6,no,nicola,july,0.75,yes,yes,0.5,yes,0.03,0.65,360,360000,yes,17,34000,manual
1990-F-1224,2023-09-03,Sunday,September,Jos South,Farinlamba Turu,496.889800000191,1990,Female,Married,3,secondary_education,owned,zinc,yes,may,0.09,0.09,0.1,60000,10000,2,53000,yes,4,no,nicola,july,0.8,no,na,0,no,0,0.75,350,350000,yes,12,24000,manual
